od,kgm,profileCode,code
6,0.221953521,Rebar,EN 10080
8,0.394584037,Rebar,EN 10080
10,0.616537558,Rebar,EN 10080
12,0.887814084,Rebar,EN 10080
14,1.208413614,Rebar,EN 10080
15,1.387209506,Rebar,EN 10080
16,1.578336149,Rebar,EN 10080
18,1.997581689,Rebar,EN 10080
20,2.466150233,Rebar,EN 10080
22,2.984041782,Rebar,EN 10080
25,3.853359739,Rebar,EN 10080
28,4.833654457,Rebar,EN 10080
30,5.548838024,Rebar,EN 10080
32,6.313344597,Rebar,EN 10080
35,7.552585089,Rebar,EN 10080
40,9.864600932,Rebar,EN 10080
45,12.48488555,Rebar,EN 10080
50,15.41343896,Rebar,EN 10080
55,18.65026114,Rebar,EN 10080
6.35,0.248603357,Rebar,ASTM A615
9.52,0.558770455,Rebar,ASTM A615
12.7,0.994413428,Rebar,ASTM A615
15.87,1.552792382,Rebar,ASTM A615
19.05,2.237430212,Rebar,ASTM A615
22.22,3.044021022,Rebar,ASTM A615
25.4,3.977653711,Rebar,ASTM A615
28.65,5.060678999,Rebar,ASTM A615
32.26,6.416353226,Rebar,ASTM A615
35.81,7.906206987,Rebar,ASTM A615
43,11.39977945,Rebar,ASTM A615
47.8,14.08689675,Rebar,ASTM A615
57.3,20.242716,Rebar,ASTM A615
59.4,21.75366459,Rebar,ASTM A615
8,0.394584037,Rebar,BS 4449
10,0.616537558,Rebar,BS 4449
12,0.887814084,Rebar,BS 4449
16,1.578336149,Rebar,BS 4449
20,2.466150233,Rebar,BS 4449
25,3.853359739,Rebar,BS 4449
32,6.313344597,Rebar,BS 4449
40,9.864600932,Rebar,BS 4449
50,15.41343896,Rebar,BS 4449
9.5,0.556425146,Rebar,JIS G 3112
12.7,0.994413428,Rebar,JIS G 3112
15.9,1.558668601,Rebar,JIS G 3112
19.1,2.249190666,Rebar,JIS G 3112
22.2,3.038543702,Rebar,JIS G 3112
25.4,3.977653711,Rebar,JIS G 3112
28.6,5.043030612,Rebar,JIS G 3112
31.8,6.234674404,Rebar,JIS G 3112
34.9,7.509489113,Rebar,JIS G 3112
38.1,8.94972085,Rebar,JIS G 3112
41.3,10.51621948,Rebar,JIS G 3112
43,11.39977945,Rebar,JIS G 3112
50.8,15.91061484,Rebar,JIS G 3112
57.3,20.242716,Rebar,JIS G 3112
9.5,0.556425146,Rebar,KS D3688
12.7,0.994413428,Rebar,KS D3688
15.9,1.558668601,Rebar,KS D3688
19.1,2.249190666,Rebar,KS D3688
22.2,3.038543702,Rebar,KS D3688
25.4,3.977653711,Rebar,KS D3688
28.6,5.043030612,Rebar,KS D3688
31.8,6.234674404,Rebar,KS D3688
34.9,7.509489113,Rebar,KS D3688
38.1,8.94972085,Rebar,KS D3688
41.3,10.51621948,Rebar,KS D3688
43,11.39977945,Rebar,KS D3688
50.8,15.91061484,Rebar,KS D3688
57.3,20.242716,Rebar,KS D3688
12,0.887814084,Rebar,AS 4671
16,1.578336149,Rebar,AS 4671
20,2.466150233,Rebar,AS 4671
24,3.551256336,Rebar,AS 4671
28,4.833654457,Rebar,AS 4671
32,6.313344597,Rebar,AS 4671
36,7.990326755,Rebar,AS 4671
