l,kgm,profileCode,code
6,0.2826,Square,EN 10059
8,0.5024,Square,EN 10059
10,0.785,Square,EN 10059
12,1.1304,Square,EN 10059
14,1.5386,Square,EN 10059
16,2.0096,Square,EN 10059
18,2.5434,Square,EN 10059
20,3.14,Square,EN 10059
22,3.7994,Square,EN 10059
25,4.90625,Square,EN 10059
30,7.065,Square,EN 10059
32,8.0384,Square,EN 10059
35,9.61625,Square,EN 10059
40,12.56,Square,EN 10059
45,15.89625,Square,EN 10059
50,19.625,Square,EN 10059
55,23.74625,Square,EN 10059
60,28.26,Square,EN 10059
65,33.16625,Square,EN 10059
70,38.465,Square,EN 10059
75,44.15625,Square,EN 10059
80,50.24,Square,EN 10059
85,56.71625,Square,EN 10059
90,63.585,Square,EN 10059
100,78.5,Square,EN 10059
115,103.81625,Square,EN 10059
120,113.04,Square,EN 10059
125,122.65625,Square,EN 10059
130,132.665,Square,EN 10059
150,176.625,Square,EN 10059
9.525,0.712196156,Square,ASTM
12.7,1.2661265,Square,ASTM
15.875,1.978322656,Square,ASTM
19.05,2.848784625,Square,ASTM
22.225,3.877512406,Square,ASTM
25.4,5.064506,Square,ASTM
28.575,6.409765406,Square,ASTM
31.75,7.913290625,Square,ASTM
34.925,9.575081656,Square,ASTM
38.1,11.3951385,Square,ASTM
41.275,13.37346116,Square,ASTM
44.45,15.51004963,Square,ASTM
47.625,17.80490391,Square,ASTM
50.8,20.258024,Square,ASTM
57.15,25.63906163,Square,ASTM
63.5,31.6531625,Square,ASTM
69.85,38.30032663,Square,ASTM
76.2,45.580554,Square,ASTM
